content,score
"sekarang banyak kendala pada saat login menggunakan verifikasi wajah, sudah mengikuti instruksi di layar malah tidak bisa masuk ke tahap berikutnya, malah keluar kata verifikasi anda gagal, sudah 2 hari saya coba dan hasilnya sama sehingga sampai sekarang saya tidak bisa menggunakan aplikasinya. mohon arahannya dan perbaikannya untuk kenyamanan pengguna. dan mengenai transaksi awal juga tidak muncul setelah melakukan transaksi padahal itu sangat membantu pengguna terkait transaksi.",3
"Pagi kaka, sering terjadi saat login selalu gagal terus jadi sering saya lakukan paksa berhenti pada pengaturan aplikasinya. Mohon perbaikan atau setiap logout aplikasi otomatis clear data atau paksa berhenti secara otomatis sehingga setiap mau login lancar masuk tanpa ada kendala, Terima kasih",5
"Cukup kecewa dengan aplikasi wondr ini. Saya pengguna BNI sudah lama, tapi semenjak pakai wondr benar benar sering mengalami kendala pada saat payment. Aplikasi yang sering loading pada saat dibuka. Padahal signal lancar. Beberapa kali malu pada saat payment lama sekali. Menurut ku sejauh ini better BNI mobile yang dulu dari pada wondr. Thanks ya",2
"Lama banget pas di buka padahal aplikasi lain aman aman aja pas di buka. Minimal kalau ada masalah di loading screennya ada tulisan kendala atau apa gitu, ini bisa 30 menit ngebuka aplikasi padahal jaringan bagus, memori aman.",1
"mengecewakan ,kemarin saya tarik tunai internasional gabisa padahal ada label master card ,sekarang tiba"" ada limit saldo padahal saya pakai yang tidak ada minimum endapan saldo,sangat merugikan saat transaksi dan saldo ngepas tiba"" berubah ,aplikasi nya perlu di tingkatkan",1
"aplikasi ini lebih buruk dari BNI Mobile Banking yang sebelumnya , untuk masuk aplikasi saja stuck, sampai berulang kali hapus penggunaan aplikasi dan buka ulang , masih saja stuck duhh! tolong dimaintenance segera agar lebih baik , kalau begini sama saja saya tidak bisa transaksi sama sekali",1
"Banyak error nya, tidak bisa LOGIN dan loading, selalu notice ""ada kendala di sistem kami"", dan Deb error, internet semua lancar, sudah menghubungi 1500046 dan ke kantor cab BNI terdekat. tapi tetap tidak bisa ada solusinya.",1
Catatan : 1. Untuk tarik tunai tanpa kartu masih menyebalkan. harus ada pulsa buat otp. seharusnya kayak BCA & BRI simpel cukup no HP sama kode tarik tunai. masak BNI kalah sama BIONS (BSI) sudah menirukan BCA & BRI sudah tanpa otp pakek pulsa. 2. Untuk E-statement masak cuma di kasi 6 bulan ke belakang yg bisa di download. kasi lah 5 tahun ke belakang biar mudah track uang keluar masuk. contoh BCA & BRI. itu aja sih saran dari saya. selebihnya udah oke tampilan simpel gak banyak menu aneh aneh.,3
"tampilan sudah user friendly , cuma satu untuk transaksi tanpa kartu agar memudahkan user bertransaksi untuk kode OTP agar di sediakan opsi via email atau whatsapp chat , karena untuk saat ini harus menyediakan pulsa terlebih dahulu baru bisa mendapatkan kode OTP.",4
"tolong diperbaiki pada saat awal masuk/login selalu lama sekali respon dari aplikasinya, padahal dulu baru awal² daftar respon dari aplikasi cepat tetapi sekarang jadi lama dan hampir 1 jam juga aplikasi tidak merespon",3
"Tampilan kekinian dengan warna menarik yg tidak kaku. terima kasih sudah ada menu tarik tunai seperti BNI mobile. tapi belum ada e statement dan terbatasnya transfer dana untuk Virtual account mengingat pembayaran bulanan seperti listrik,air dan belanja kebutuhan rumah tangga sebagian besar melalui olshop",4
"Sore kak, ini kenapa wondr di hp saya aneh sekali ya. Cuma mau terbuka kalau sedang connect ke wifi saja, tetapi tidak mau kalau pakai paket data selular. Sudah saya cek di settingan hp saya, metode koneksi dengan Wifi dan paket data selular aktif. Semua aplikasi yang menggunakan internet bisa menggunakan paket data selular kecuali wondr. Hape saya redmi note 14. mohon dibantu kak... susah juga kan kalau saya mau bayar apa apa tapi harus cari wifi dulu.",3
"kalau tarik tunai pakai aplikasi selalu tdk bisa, karena nomor OTPnya tdk dikirim, coba bisa seperti BSI masukan nomor HP dan kode transisi langsung keluar uang, ini pakai kirim nomor tapi tdk terkirim² dari aplikasi BNI sampai wondr sama aja tdk bisa tarik tunai melalui aplikasi",1
"Aplikasi jelek.... Duet gue ilang transaksi qris !!! Ga balik payah!!! Bug banyak... Setiap malam jam 23:45 wonder selalu gagal transaksi. Kalo belum siap ga usah ngeluncurin aplikasi pak !!!! Gak nyaman jd nasabah BNI !!! Sumpah !!! Aplikasi sampah ko dibuat !!! Kalah sama bank bri,bca ,mandiri g pernh gangguan tiap malem.",1
"dari semalam ngga bisa log in, padahal jaringan bagus, ngga ada kendala, gapi buat log in ngga bisa, boro-boro loading, tulisan log in diteken aja ngga ada respon, udah lapor tapi lambat penanganan",1
"Tolong segera diperbaiki untuk pendaftaran pendidikan, harusnya sih jika sudah diperbarui ke versi terbaru sdh bisa pake fitur""lama maupun terbaru.. untung saja msih ada jangka waktu pembayaran jdi bisa ke ATM besok",4
"terlalu ribet saat verifikasi wajah nya suruh buka mulut suruh tengok atas kiri kanan, sudah coba beberapa kali tetep gk bisa, harus di coba besok lagi, karna sering salah, perhatikan hal kecil ini karna berdampak besar kedepannya",3
Kak saya transfer lewat wonder ke Dana Ada keterangan sukses tapi kok gak masuk ya ke dana. Biasanya selalu berhasil. Dan di riwayatnya juga sudah seukses. Namun sayaa masih belom bisa cek sisa saldo sebelumnya. berkurang atau tidak belum tau.. Jika bisa tambahin informasi saldo sebelumya dan sesudah biar ketahuan berkurang atau tidak saldo saya. Terimakasih.,4
"Payah, upgrade dari BNI mobile banking ke wondr tetapi seakan persiapannya kurang.ingin transaksi ini dan itu masih dalam pengembangan.seharusnya BNI baru meluncurkan aplikasi setelah benar benar siap, setidaknya 90%lah sudah matang,kalo dilihat aplikasi wondr ini malah down grade.",2
"baru mulai sih,selama ini lancar-lancar aja. keep it up. Satu yg saya sesalkan, sampai saat ini, yaitu data akun yg pernah saya transfer, tidak ""terbawa"" dari BNI MOBILE BANKING, sehingga saya HARUS meng-input ulang, untung saya punya catatannya",4
"koq nggak bisa dibuka aplikasi Wonder BNI, apa ada Pemeliharaan,atau ada trouble hanya muncul tampilan depan tidak ada klik untuk masuk, Atau PIN fingerprint tolong bisa lebih baik lagi WONDR BNI ,jangan sering error.",1
"Wordr itu sangat LELET...LELET, saat Login...rata2 perlu waktu satu menit. Ini membuat saya sering membatalkan mengunakan fitur QRIS. Aplikasi BNI Mobile jauh lebih unggul dalam hal kecepatan login...Saya ga bisa meninggalkan BNI karena gaji melalui ini. Maka dengan laba bersih trilyunan, tolong di benahi Wondr..",3
"Kedepannya mohon ditambahkan metode transaksi Cardless seperti di BNI Mobile. History transaksi tidak ditampilkan semuanya disini, terutama transaksi bayar/beli. Semua fitur di BNI Mobile diaktifkan saja diaplikasi ini. Ganti Apk harusnya lebih meningkat. Apk BNI Mobile msh lebih ok 👍 Thanks,",2
"Tbtb aplikasi stop di layar tulisan wondr doang, gamasuk aplikasi! saya mau transaksi jadi susah! udah hapus aplikasi trus download lagi ternyata masih sama aja. aplikasi payah. padahal saya disuruh beralih dari BNI mobile banking yg juga lelet ke wondr by bni. taunya sama sama menyebalkan",1
"Aplikasi Tolol Di suruh Verifikasi wajah malah di persulit, Alasannya Wajah gak kelihatan. padahal jelas jelas Cahaya Sekitar Terang, Kamera Handphone juga Bersih, apa lagi coba yang salah. Kelihatan banget Mempersulit Verifikasi supaya Orang langsung datang ke Cabang terdekat. benarkan Sistem deteksi wajah nya. Sekelas BNI buruk banget sistemnya deteksinya ⭐",1
"Secara UI dan UX udah bagus, fresh dan mudah, tapi ada satu masalah yang saya alami, yaitu gagal mengidentifikasi QRIS yang saya download maupun screenshot, lebih bagus bni mobile banking yg merah soal scan QRIS",4
"Kenapa cuma ada Dana keluar dan masuk saja. Sedangkan potongan saldo, penambahan saldo tidak tertulis dalam mutasi rekening. Dulu yg BNI mobile banking ada. Tolonglah kasih catanan saldo",3
"Jujur saya kecewa buka rekening di bni, awalnya saya buka rekening taplus muda, tiba2 awal april 2025 tanpa pemberitahuan ke saya tiba2 secara otomatis berubah jadi taplus biasa, yg biaya admin perbulan nya mahal 15.000 yang biasanya cuma 5000 dan mempunyai saldo mengendap 50.000, jujur kalo kayak gini saya gak sanggup kalo segitu mah, padahal saya nyaman direkening taplus muda kok malah dipindah pandah gak jelas, kalo begini mending saya pindah aja ke bank lain yg biaya admin nya lebih murah",1
"Saya transaksi qris di wondr BNI, tercatat di history wondr 2 kali tapi tercatat di toko nya cuma 1 kali. Mau di cek tapi ga bisa karena tidak ada catatan saldo setelah transaksi, tidak seperti Mbanking sebelumnya. Mohon dibantu cek",3
"Apk Wonder ini menurutku hampir sma dengan apk BNI sebelumnya,ngeleg,suka ga mau kebuka pas lagi login,lama banget muncul layar hitam m abis itu keluar ke menu utama hp,belum lagi kalau udh keburu belanja mau Qris,dahlahh cape banget😪",4
"jelek banget, mending yang kemarin aja deh. ini mah perbaruan tampilan aja tapi yang lainnya malah perburukkan. verifikasi udah sampe muka didepan kamera, eh tiba-tiba ga bisa login dan disuruh verifikasi lanjut ke kantor terdekat. terus kenapa tadi ter-verifikasi mukanya keterima kalau curiga?🥲 ga ada detail saldo sebelum dan sesudah digunakan, ga ada detail uang keluar, dan LIMIT GA JELAS belum mencapai batas limit tau-tau gamau dengan alasan limit.. dahlah, balik yang dulu aja kalau gini",1
- Aplikasi ini sudah cukup membantu dalam memantau transaksi keuangan baik pemasukan maupun pengeluaran - Fitur QRISnya cukup mudah karena tidak perlu harus membuka aplikasinya dulu cukup menekan QRIS - Alangkah bagus jikalau fitur setor tarik bisa dikembangkan sehingga dapat membantu nasabah menarik atau menyetor uang tanpa harus mengeluarkan kartu ATM.,5
Aplikasi ini jujur JELEK dibandingkan aplikasi sebelumnya. Riwayat transaksi tidak lengkap.. Yang sangat saya kecewa PELAYANAN KARYAWAN BANK... PENDUSTA. . tolong dong saldo blokir jangan di tahan lama itu uang bukan milik bank. Kecewa saya jadi nasaba bank BNI....,1
kenapa sering gangguan transaksi. engga mobile engga wonder. sama aja padahal sudah update versi baru. saldo juga ada. tapi gk bisa transaksi. bikin malu mau bayar kaga bisa. tolong CSnya katanya gagal membuat virtual akun. mau bayar Qris atau Tf gk bisa kan malu2in. di kata gk ada duit nya ...,5
"good good good..lebih komplit. memudahkan segala transakai. bayar tagihan listrik, wifi, e wallet, bahkan pakai android biasa tanpa NFC tapcash sudah bisa langsung digunakan tanpa upgrad di ATM . tingkatkan terus y kak.. terimkasih wondr.",5
"semoga bisa segera di upgrade lagi, mengenai beberapa fitur yang ada di BNI m-banking tapi ga ada di wondr. kayak fitur mobile tunai, tarik tunai di wondr cuma tersedia di atm bni aja, ga bisa tarik tunai di alfa. ga bisa setor tunai juga di app wondr, jadi sampe sekarang masih punya aplikasi m-banking karna lebih proper. tp untuk notif keluar masuk tanpa buka app udah bagus sih wondr👍🏼 ditunggu sentuhan barunya!",3
"Belakangan ini buka aplikasi wonder butuh kesabaran besar,kalah sama bank himbara lain yang begitu dibuka langsung masuk ke aplikasi Nah wonder muter-muter dan sampai akhirnya maaf sedang dalam perbaikan. Selalu seperti itu Tolong diperbaiki min,kita pengguna tetap merasa terganggu dengan hal seperti ini",2
"awalnya aplikasi ini sangat menarik namun pada saat ingin login kembali sangat susah padahal pasword nya sudah benar namun tetap tidak bisa dan malah di suruh ulang kembali dari awal dan pada saat ulang kembali di bagian kode otp tidak pernah dapat terkirim, mohon tim wondr bisa di perbaiki lagi untuk hal ini karena aplikasi ini sebenarnya berpotensi sekali.",1
"aplikasi bagus dn lancar, background masih agak kaku tapi sejauh ini lancar dalam aplikasinya. saran kiranya background dibuat menarik lagi tapi ini optional saja. intinya fungsi utamakan kalau urusan penampilan bisa menyesuaikan.👍",5
semua perizinan notif sdh diberikan. knp setiap transaksi masuk tidak ada push notification?? kurang efisien kalau transferan masuk harus login dan cek riwayat.,4
"tolong dong wondr ini kenapa aplikasinya sudah bagus , namun ketika membuka sangat slow respon sekali ngebug di menu utama login saya menggunakan data seluler, sangat disayangkan ketika harus payment di antrian nunggu lama banget di kasir. mohon di perbaiki lagi APK nya 🙏🏻🙏🏻 thank so far so good except this ☝🏻",5
"Nomor rekening di Wondr & BNI Mobile Bangking beda, di BNI Mbangking ada 0 nya di Wondr gak ada 0 nya. Contoh : Wondr → 084******* BNI Mbangking → 84******* Saya kirim screenshot nomor rekening pake Wondr untuk reimburstment, tp ternyata gagal karna nomornya salah kurang 0, alhasil reimburstment saya kena charge biaya admin. Nominalnya gak seberapa, cuman jengkel aja harus kena charge gara2 apk nya gak sinkron. Seharusnya nomor rekeningnya disamakan dong biar gak bikin salah paham.",1
"Tampilan menarik tapi tetap az masih jadul, ga ada beda sama yg lama masih pakai otp berbayar untuk transaksi tanpa kartu, kn zaman sekarang jarang orang isi pulsa pakainya kuota internet, semoga menjadi masukan bagi pihak BNI, atau klo mau pakai otp kirimnya ke wa yg tidak menggunakan pulsa tp kuota",3
"knapa no rekening lama tidak ada di wondr, padahal masih aktif membalas jawaban BNI tabungan sya Taplus katanya smua serba praktis, modern, serba digital, tpi masalah bgini aja harus ke outlet BNI, dah lah uninstall aja ni wondr, n tutup rekening. status rekening Masih aktif, (gaji) BNI Call udah Whatsapp udah juga tetap aja ga bisa di suruh datang ke outlet, kerja Offshore kok disuruh ke cabang",1
"Kadang aplikasi ga bisa dibuka stuck di logo aja,padahal sinyal bagus dan kuota paket masih banyak.. Entah kenapa?? Udh hapus cache tetep jg sama mentok di logo wondr aja ga bisa login",4
"aku gtw yg temen2ku blg ga suka sm wonder krn banyak masalah, menurutku fine2 aja sih, mgkn krn pertama kali make mbanking, dan lebih enak karena bisa masuk hanya dgn ktp soalnya yg bni mobile hrs ke bank dlu biar bs daftar, dan wonder juga mempermudah dgn fitur investasi, life goals, dan obligasi, bs qris juga, enak dah menurutku",5
edit ulasan 26-03-2025. di perbaiki lagi apk nya dibuatkan simpel saja seperti BNI mobil. trans VA yg lancar dan mudah dng BNI mobile jadi ribet dan mahal pakai Wondr. BI fast juga terkadang TDK dpt di pakai alhasil biaya transaksi BI fast 2500 jd 6500 - 10000. ex: pembayaran di alfagift. sdh sangat jengkel tp mau bilang apa? BNI mobile selalu close tiap kali di pakai. terpaksa pakai wondr. moga aja pihak wondr segera bisa memperbaiki apk nya.,1
"Kalah jauh sama bank2 kompetitor yg lain. mobilebanking bni kok gada notifikasi uang masuknya. lucunya lagi kalau mau notifikasi uang masuk harus pake sms banking. makan pulsa Rp.500/notifikasi wkwkwk. jadul banget. apa lg transferan masuk lewat dari jam 12 malam, saldo nambah tp di riwayat ga muncul.",1
"Saran saja..waktu transaksi dana shope dll ,bagusnya nomor tidak ditutupi..mengapa ditutupi dan hanya 4nomor terakhir yang muncul dan nama orangnya tertutup semua..seharunya dimunculkan sebagian besar jadi kita bisa mencocokkan benar apa tidak sebelum memilih memasukkan pin",4
"aplikasi tidak bisa dibuka,mentok sampai logo terus keluar sendiri waktu sedang urgent malah ngebug hubungi cs respon sangat lambat, ketika sudah direspon cuma minta maaf sedang ada kendala,malah disuruh coba berkala tidak ada solusi lain",1
"Agak merepotkan di bagian laci semua transaksi, habis scroll dari bawah ke atas, laci bagian semua transaksi mesti ikut keseret kebawah jdi otomatis ketutup bagian semua transaksi, jadi harus buka lagi ngulang scroll dari bawah buat cek riwayat transaksi bulanan.",3
"sebenernya nyaman pake BNI soalnya gaada minimum saldo biaya adm juga murah, aplikasinya bagus. alangkah lebih baik kalau ada menu tarik tunai, dan tidak ada limit top-up E-wallet harian.",4
"Ini kenapa aplikasi wondr bni ku tidak bisa di buka yak,,padahal sinyalnya bagus aja buat buka yg lain aja bisa..aplikasi wondr nya juga sdah saya update masih saja tidak bisa masuk😏",1
"Kualitas aplikasi kurleb sama seperti aplikasi BNI Mobile Banking sebelumnya, hanya masih ada beberapa fungsi yang agak ngadat. Tapi saya wajarkan karena memang proses pindah aplikasi tidak mudah. Untuk jaga-jaga, aplikasi yang lama belum saya uninstall sementara saya mulai pakai aplikasi baru ini",4
"Mohon untuk di perjelas kembali dalam kendalanya, masa mau masuk wondr by bni sudah 4 hari mentok di verifikasi wajah ga bisa akses masuk, keterangan ada kendala, kendalanya it apa? Padahal jaringan dan semua media cerah. Terima Kasih.",4
"Untuk login nya susah, verifikasi wajah sangat sangat kacau. Pas suruh ""kedipkan mata"" saya sudah kedipkan mata ratusan kali, tetep aja stuck disitu, dan coba lagi keesokan harinya, dan begitu lagi hahaha bikin aplikasi yg bener dong! Masa sekelas bank BNI bikin aplikasi aja belum sempurna😥",1
"awal setelah membuat wondr BNI,transaksi lancar, tapi selang 2 bulan sudah 2 transaksi bermasalah baik transfer ke bank lain atau sesama BNI dan menerima dari bank lain juga tidak bisa, payah ketinggalan banget teknologinya sama bank lain.",1
"Aplikasi mbangking baru dari BNI keren banget tampilannya, terkesan terlihat mewah. Terutama detail dari hal merekap keuangan kita. Fiturnya sangat lengkap Tingkatkan lagi BNI",5
Hari ini aplikasi error. Terimakasih. Jadi fix pake app yg ini atau preprod? Dah 3 kali ini semua history nomor yg disave hilang. Sekarang malah tdk bisa dibuka seharian. Weekend lagi butuh2nya transaksi loh,1
"Tolong Update lagi di beri fitur untuk beli saldo Ojol langsung dari aplikasi Wondr,dan g perlu harus lewat ini dulu lah,itu dulu lah,ribet..intinya beli saldo langsung di potong dari saldo efektifNya di aplikasi Wondr. Kalo sudah ada fitur itu saya tambahi bintangNya deehhh...",1
"Stuck di logo BNI udah 3 hari menggunakan paket internet, tolong di perbaiki masalahnya. kemarin pas mudik ngak bisa narik uang gara gara ini saya kira eror ternyata setelah di cek di play store banyak permasalahan yg sama, ngak ada root/jail brik device.. udah saya coba login pake internet tetap mentok di logo BNI z z z . baca juga permasalahan/ulasan lain jangan langsung komen pastikan tidak di root atau lain lain nah gitu baru yg saya harapkan ada petunjuknya",5
"Halo ka,,, setiap buka aplikasi selalu login dari awal, merasa kurang nyaman selalu gagal login dan mengulang untuk hari besok,,,tolong diperbaiki lagi untuk aplikasi nya agar kita semua pengguna lebih mudah dalam menggunakan aplikasi nya yaa,,, terimakasih",4
Sampai saat ini masih oke sih. Tampilannya simple dan mudah dipahami. Terus bedanya sama app BNI sebelumnya PIN sama passwordnya ga banyak jadi memudahkan transaksi. Kurangnya di bagian Qris masih aneh dan blm bisa dipakai keterangannya. Tapi buat tampilan lebih suka yang app sebelumnya sorry bgt. Bagusnya untuk e wallet bisa langsung dihubungkan kayak gopay.,4
Secara UI memang fresh ngga bikin bosen. Sangat mudah buat bikin rekening baru. Kekurangannya ada beberapa fitur yg blm bisa diakses yg semoga developer trs ngembangin fiturnya supaya ngga bikin ribet pengguna. Semoga kedepannya ada tambahan fitur bisa setor dan tarik tunai di teller / atm,5
Minta tolong dikembangkan lagi untuk informasi adanya notifikasi untuk transaksi transfer uang maupun transaksi yg lain nya. Soalnya setiap ada nya ung masuk tidak muncul nya pemberitahuan dari informasi dari Wonder by BNI ini. Terimakasih:),4
"Sebenarnya aplikasinya mudah digunakan, tampilan menarik, tapi menu belum lengkap.. Adakan juga setor tunai dan tarik tunai tanpa kartu... Karena dijaman sekarang ini tarik tunai tanpa kartu sangat membantu seperti bank sebelah.... Semoga lekas ada perubahan... Ada menu baru akan saya kasih bintang 5",4
"Aplikasi sampah ini, bagusan yang dulu aja. Masa face recognitionnya aja ga bisa deteksi kedipan mata, disitulah saya stuck untuk masuk verifikasi. Belum lagi, masukin data selalu dibatas setiap hari, disuruh coba ""besok lagi"" dan besoknya akan berulang lagi.",1
"Di aplikasi wonder ini tidak ada daftar favorit untuk transaksi pengisian paket data , transfer maupun isi token listrik ,jadi setiap mau ngisi harus ngetik ulang, untuk tampilan lebih fresh tp untuk kelengkapan masih enak mobil bangking yang lama ,mohon untuk lebih d kembangkan lagi .",2
"Wondr ni gimana sih sistem nya? Saya top up dana, keterangan disana top up berhasil, tapi saldo nya ndak nambah² di dana nya, saldo di rekening pun ndak berkurang. Saya coba lewat mobile banking, langsung masuk. Wondr aplikasi ndak jelas, bagusin dulu aplikasi nya, baru release ke public.",2
"Tolong aplikasi segera ada perubahan nya, asal ad orang yang transfer ke kita, riwayat ny kadang ada kadang enggak... Jd bingung, apakah memang sudah masuk atau engak yg ditf Krna tidak seperti M-banking yg lama, selalu muncul saldo awal, dan kita tau klo saldo kita nambah",2
Aplikasi yang sangat memudahkan saya. Fitur yang banyak dan lengkap juga sangat memudahkan pengguna dan juga penggunaannya sangat mudah. Bagi yg belum punya rekening juga bisa langsung akses buat rekening secara online sangat efisien sekali tidak perlu repot datang ke bank. Terima kasih wondr BNI😁,5
Salah pasword sekali saja bukan berarti tidak tau password atau orang penipu yaa. Ada kemungkinan salah ketik. Saya ngetik salah 1 digit untuk password saya saja langsung terblokir. Harus pakai KTP lagi. Menyebalkan sekali Kalau bisa tolong jadikan seperti di ATM yaitu bisa 3x coba dan kalau misalkan gagal 1x dan bisa lagi akan kereset menjadi 3x percobaan lagi Kayak begitu kan bisa bikin orang senang. Kalau kek gini malah ribet. Paling malas apalagi suami sering pergi pergi dan KTP dibawa,1
"Terlalu banyak pengembangan & membuang anggaran perusahaan BNI untuk pengembangan aplikasi ini. Lebih baik fiturnya sederhana seperti Mobile Banking & jaringannya terjamin agar mudah diakses guna transaksi. Di Mobile Banking cek Mutasi ada, yg sekarang gaada (Antisipasi kecurangan / pencurian saldo dari internal BNI) & bikin curiga customer. Mau transfer via virtual akun kok sering error. Tolong benar-benar dievaluasi & diperbaiki jika customer BNI tidak lari ke bank tetangga sebelah.",1
